target_file,vuln_file,patch_file,datail,predict
./processed/SchedMD@@slurm-slurm-19-05-8-1/_unpack_local_suspend@@@src@#@plugins@#@accounting_storage@#@mysql@#@as_mysql_archive.c,./cache/old_new_funcs/vul/sample/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__unpack_local_suspend_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__unpack_local_suspend_NEW.vul,[False],False
./processed/SchedMD@@slurm-slurm-19-05-8-1/_unpack_local_resv@@@src@#@plugins@#@accounting_storage@#@mysql@#@as_mysql_archive.c,./cache/old_new_funcs/vul/sample/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__unpack_local_resv_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__unpack_local_resv_NEW.vul,[False],False
./processed/SchedMD@@slurm-slurm-19-05-8-1/_load_resvs@@@src@#@plugins@#@accounting_storage@#@mysql@#@as_mysql_archive.c,./cache/old_new_funcs/vul/sample/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_suspend_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_suspend_NEW.vul,"[True, 'no del line', True, False, 0.6769596199524941, 0.6886792452830188]",False
./processed/SchedMD@@slurm-slurm-19-05-8-1/_load_resvs@@@src@#@plugins@#@accounting_storage@#@mysql@#@as_mysql_archive.c,./cache/old_new_funcs/vul/sample/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_txn_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_txn_NEW.vul,[False],False
./processed/SchedMD@@slurm-slurm-19-05-8-1/_load_resvs@@@src@#@plugins@#@accounting_storage@#@mysql@#@as_mysql_archive.c,./cache/old_new_funcs/vul/sample/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_events_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_events_NEW.vul,[False],False
./processed/SchedMD@@slurm-slurm-19-05-8-1/_load_resvs@@@src@#@plugins@#@accounting_storage@#@mysql@#@as_mysql_archive.c,./cache/old_new_funcs/vul/sample/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_resvs_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_resvs_NEW.vul,[False],False
./processed/SchedMD@@slurm-slurm-19-05-8-1/_load_resvs@@@src@#@plugins@#@accounting_storage@#@mysql@#@as_mysql_archive.c,./cache/old_new_funcs/vul/sample/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_cluster_usage_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_cluster_usage_NEW.vul,"[True, 'no del line', True, False, 0.5972495088408645, 0.5980582524271845]",False
./processed/SchedMD@@slurm-slurm-19-05-8-1/_load_suspend@@@src@#@plugins@#@accounting_storage@#@mysql@#@as_mysql_archive.c,./cache/old_new_funcs/vul/sample/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_suspend_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_suspend_NEW.vul,"[True, 'no del line', False]",False
./processed/SchedMD@@slurm-slurm-19-05-8-1/_load_suspend@@@src@#@plugins@#@accounting_storage@#@mysql@#@as_mysql_archive.c,./cache/old_new_funcs/vul/sample/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_txn_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_txn_NEW.vul,[False],False
./processed/SchedMD@@slurm-slurm-19-05-8-1/_load_suspend@@@src@#@plugins@#@accounting_storage@#@mysql@#@as_mysql_archive.c,./cache/old_new_funcs/vul/sample/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_events_OLD.vul,./cache/old_new_funcs/no_vul/CVE-2019-12838_CWE-XXXX-XXXX_afa7d743f407c60a7c8a4bd98a10be32c82988b5_CVE-2019-12838_afa7d743f407c60a7c8a4bd98a10be32c82988b5_as_mysql_archive.c_1.1__load_events_NEW.vul,[False],False
